sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_198,154,159,0.0695645127354443,0.04729605412496886,0.0005517237363257,0.019452677353375712,0.0003450763599482,-0.0012610560551310117
sensor_539,176,154,0.0561251948988301,0.0527185388718811,0.0005105649967675,0.025294517308296936,0.0004130494767357,0.01169971955587707
sensor_208,156,163,0.0681917659831701,0.04527880946270878,0.0006192562973968,0.014410931364485595,-8.71271914968493e-05,-0.012036190947411457
sensor_187,157,164,0.0676234110720437,0.04458211194988352,0.0007066217497522,0.023438212794444895,0.000214395170435,-0.004253283693931209
sensor_060,158,174,0.0672263006291259,0.03835587925403862,0.0006352363770713,0.013118588689616047,3.324144497595977e-06,0.00490941576176025
sensor_426,159,170,0.0662386680803823,0.041806649762973824,0.0005364325687251,0.015048779244668135,0.0002742530555299,0.004919036156088087
sensor_047,181,161,0.0538984348726777,0.045776395822056684,0.0004736472865674,0.016771327223292113,-3.020492312760568e-05,-0.006301822286734075
sensor_472,161,182,0.065152926457144,0.03274136648640215,0.0005502845275061,0.010374989908052887,-0.0001927673867507,-0.003800418797172837
sensor_564,162,177,0.0649899095763117,0.03529411764705882,0.0002957635662704,0.0,-0.0001391787928166,0.0
sensor_526,165,178,0.0642097475211552,0.03493923799787112,0.0005871135709123,0.012509393525492634,4.518088085687073e-05,0.0013133598081811228
sensor_177,179,166,0.0542907631916301,0.043360853719632365,0.0003894096151517,0.016769425691942223,-0.00030505539117,0.002578175974421746
sensor_413,177,167,0.0558229315245182,0.04244870137444169,0.0003527184570031,0.009113442354756227,-5.508343382320815e-05,-0.004099796883297658
sensor_166,168,176,0.0600225603642546,0.03542572631185317,0.0003737322981138,0.0062020793098031,-0.0001392320259735,0.0012787119101753508
sensor_018,169,169,0.0596281992527251,0.04223498093816767,0.0003864585753367,0.010166423433923003,-8.580127532134178e-05,-0.000869089031744734
